Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
JAX,"J. Alexander&#39;s Holdings, Inc.",12.2,179281147.2,,2015.0,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jax,microcap,1617227
JILL,"J. Jill, Inc.",5.95,260386232.4,,2017.0,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/jill,microcap,1687932
MAYS,"J. W. Mays, Inc.",37.1085,74802572.13,,,Consumer Services,Building operators,https://www.nasdaq.com/symbol/mays,microcap,54187
JAKK,"JAKKS Pacific, Inc.",2.475,72195534.675,,1996.0,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jakk,microcap,1009829
JMBA,"Jamba, Inc.",12.97,202858802.49,,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jmba,microcap,1316898
JASN,"Jason Industries, Inc.",2.63,72048792.14,,2013.0,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasn,microcap,1579252
JRSH,"Jerash Holdings (US), Inc.",6.85,77576250.0,,2018.0,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/jrsh,microcap,1696558
JMP,JMP Group LLC,5.3913,115655510.0337,,2007.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmp,microcap,1302350
JMU,JMU Limited,1.33,2548121.73,1915881.0,2015.0,Technology,EDP Services,https://www.nasdaq.com/symbol/jmu,microcap,1527762
HEQ,John Hancock Hedged Equity & Income Fund,16.24,198203824.56,,2011.0,,,https://www.nasdaq.com/symbol/heq,microcap,
JHS,John Hancock Income Securities Trust,13.69,159441748.65,,,,,https://www.nasdaq.com/symbol/jhs,microcap,
JHI,John Hancock Investors Trust,16.56,144188334.0,,,,,https://www.nasdaq.com/symbol/jhi,microcap,759828
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,8.12,89640569.48,,,,,https://www.nasdaq.com/symbol/hty,microcap,
JNCE,"Jounce Therapeutics, Inc.",8.31,271135588.68,,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/jnce,microcap,1640455
JMEI,Jumei International Holding Limited,1.64,245810876.84,,2014.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jmei,microcap,1597680
KALV,"KalVista Pharmaceuticals, Inc.",15.15,190573622.55,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kalv,microcap,1348911
KMDA,Kamada Ltd.,5.65,227511527.55,,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kmda,microcap,1567529
