ticker,statement,quarter,tag,value
TSLA,calculations,2018-01-01,investedcapitalturnover,1.1268
TSLA,calculations,2018-01-01,investedcapitalincreasedecrease,2888413000.0
TSLA,calculations,2018-01-01,freecashflow,-3479579404.2
TSLA,calculations,2018-01-01,netnonopex,179640595.8
TSLA,calculations,2018-01-01,netnonopobligations,6247290000.0
TSLA,calculations,2018-01-01,ebit,-639818000.0
TSLA,calculations,2018-01-01,depreciationandamortization,500030000.0
TSLA,calculations,2018-01-01,ebitda,-139788000.0
TSLA,calculations,2018-01-01,capex,786688000.0
TSLA,calculations,2018-01-01,dfcfnwc,-3830838000.0
TSLA,calculations,2018-01-01,dfnwc,-307601000.0
TSLA,calculations,2018-01-01,nwc,-1104150000.0
TSLA,calculations,2018-01-01,debt,10212249000.0
TSLA,calculations,2018-01-01,ltdebtandcapleases,9415700000.0
TSLA,calculations,2018-01-01,netdebt,6689012000.0
TSLA,calculations,2018-01-01,totalcapital,15844641000.0
TSLA,calculations,2018-01-01,bookvaluepershare,25.5628
TSLA,calculations,2018-01-01,tangbookvaluepershare,23.0185
TSLA,calculations,2018-01-01,marketcap,51608753300.0
TSLA,calculations,2018-01-01,enterprisevalue,59692915300.0
TSLA,calculations,2018-01-01,pricetobook,12.1798
TSLA,calculations,2018-01-01,pricetotangiblebook,13.5261
TSLA,calculations,2018-01-01,pricetorevenue,4.389
TSLA,calculations,2018-01-01,pricetoearnings,
TSLA,calculations,2018-01-01,dividendyield,0.0
TSLA,calculations,2018-01-01,earningsyield,-0.038005
TSLA,calculations,2018-01-01,evtoinvestedcapital,5.0248
TSLA,calculations,2018-01-01,evtorevenue,5.0765
TSLA,calculations,2018-01-01,evtoebitda,
TSLA,calculations,2018-01-01,evtoebit,
TSLA,calculations,2018-01-01,evtonopat,
TSLA,calculations,2018-01-01,evtoocf,
TSLA,calculations,2018-01-01,evtofcff,
TSLA,calculations,2018-01-01,ebitdagrowth,-1.677615
TSLA,calculations,2018-01-01,ebitgrowth,-3.39816
TSLA,calculations,2018-01-01,nopatgrowth,-1.104808
TSLA,calculations,2018-01-01,netincomegrowth,-2.512145
TSLA,calculations,2018-01-01,epsgrowth,-5.75
TSLA,calculations,2018-01-01,ocfgrowth,2.137619
TSLA,calculations,2018-01-01,fcffgrowth,0.483986
TSLA,calculations,2018-01-01,investedcapitalgrowth,0.321246
TSLA,calculations,2018-01-01,revenueqoqgrowth,0.101711
