Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification
DSPG,"DSP Group, Inc.",12.9,289463977.2,,1994.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/dspg,microcap
DSE,Duff & Phelps Select Energy MLP Fund Inc.,6.15,161182933.05,,2014.0,,,https://www.nasdaq.com/symbol/dse,microcap
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",13.22,112643455.7,,1991.0,,,https://www.nasdaq.com/symbol/dtf,microcap
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",8.52,234254699.16,,1993.0,,,https://www.nasdaq.com/symbol/duc,microcap
DXF,Dunxin Financial Holdings Limited,5.9884,124758331.3372,,,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/dxf,microcap
DRRX,DURECT Corporation,1.29,208982131.08,,2000.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/drrx,microcap
EBMT,"Eagle Bancorp Montana, Inc.",18.95,103475565.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ebmt,microcap
EGIF,Eagle Growth and Income Opportunities Fund,15.71,112811546.25,,2015.0,,,https://www.nasdaq.com/symbol/egif,microcap
EACQ,Easterly Acquisition Corp.,10.4,67951364.0,,2015.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/eacq,microcap
EML,Eastern Company (The),30.1,188634021.1,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/eml,microcap
KODK,Eastman Kodak Company,3.1,132282604.8,,,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kodk,microcap
EVM,Eaton Vance California Municipal Bond Fund,10.28,219933897.44,,2002.0,,,https://www.nasdaq.com/symbol/evm,microcap
CEV,Eaton Vance California Municipal Income Trust,11.42,81465426.5,,1999.0,,,https://www.nasdaq.com/symbol/cev,microcap
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,9.23,193830000.0,,2017.0,,,https://www.nasdaq.com/symbol/efl,microcap
EFF,Eaton vance Floating-Rate Income Plus Fund,15.87,120713917.14,,2013.0,,,https://www.nasdaq.com/symbol/eff,microcap
EHT,Eaton Vance High Income 2021 Target Term Trust,9.73,208815150.53,,2016.0,,,https://www.nasdaq.com/symbol/eht,microcap
